date,Content,Likes,Retweet
2022-12-06 15:23:59+00:00,"1/2 I welcome the news that the #Vizhinjam crisis is over. My congratulations &amp;thanks to the leaders of the Latin Catholic Church, especially Archbishop Netto, for their magnanimity&amp; willingness to compromise in the interests of peace &amp; harmony and the development of the state.",795,63
2022-12-06 06:51:14+00:00,https://t.co/xzi7JblFCB,1275,91
2022-12-06 06:43:17+00:00,#RememberingDrAmbedkar https://t.co/39LN4flVjE,453,42
2022-12-06 02:24:26+00:00,"It was a pleasure to deliver this year’s Bodhigram lecture on Young India : social and Economic Empowerment,
&amp; to appreciate the impressive work done by @JSAdoor &amp; his young team ! https://t.co/ERfjMg6ED9",183,15
2022-12-05 17:40:10+00:00,"[Malayalam]ചങ്ങനാശ്ശേരിയിലെ ക്രൈസ്തവ യുവജന സമ്മേളനത്തിൽ യുവജനങ്ങളെ ആവേശഭരിതരാക്കി ശശി തരൂർ
 my speech to @Yuvadeeptikcym Sunday: https://t.co/Tc49SaHECn",122,28
2022-12-05 14:27:36+00:00,Touched by the affection of the young @inckerala workers who sought me out late last night to garland me in the party colours. Team — you are well worth fighting for! https://t.co/rpRTvRbmSp,932,76
2022-12-05 14:23:49+00:00,Said farewell to the students and faculty of Morning Star College before heading out on the five and a half hour drive to Thiruvananthapuram today. https://t.co/b8P0AFcUpB,278,35
2022-12-05 14:22:15+00:00,"With an attractive display of my books along the staircase of Morning Star College, Angamally https://t.co/pqqqCEZ22B",1167,54
2022-12-05 14:21:09+00:00,"Addressed the faculty &amp; students of Morning Star Women’s College, Angamally, today &amp; took some very smart questions in the interaction that followed. Kerala is blessed with educated young people — but not enough job opportunities to keep them here. https://t.co/xoBYzV53F7",241,30
2022-12-05 14:14:47+00:00,"Visited the beautiful private chapel used by the Syro-Malabar Catholic priests residing at St Thomas Mount, Kakkanad, before being besieged by the press as I came out. https://t.co/RqsqgbDfi6",232,33
2022-12-05 14:12:51+00:00,"Called on Cardinal George Alenchery this morning at the impressive Bishop’s House in Kakkanad, Kochi, set in a beautiful estate called St Thomas Mount. Privileged to be treated to a sumptuous breakfast at 7 am! https://t.co/ZqU6CXKj5u",219,34
